needsPractice,type,pronoun,singular,plural,translations,categories,class,,
TRUE,adverb,,beides,,"both, ambos",general,,,
TRUE,adverb,,andere,,"other, otro",general,,,
TRUE,adverb,,draußen,,"outside, afuera",general,,,
TRUE,adverb,,manchmal,,"sometimes, algunas veces",general,,,
TRUE,adverb,,meisten,,"most, la mayoria",general,,,
TRUE,adverb,,nochmal,,"again, de nuevo",general,,,
TRUE,adverb,,zuerst,,"first, primero",general,,,
TRUE,adverb,,danach,,"after, despues",general,,,
TRUE,adverb,,früh,,"early, temprano",general,,,
TRUE,adverb,,niemand,,"nobody, nadie",general,,,
TRUE,adverb,,immer,,"always, siempre",general,,,
TRUE,adverb,,unterschied,,"difference, diferencia",general,,,
TRUE,noun,der,Würfel,,"cube, cubo",general,,,
TRUE,adjective,,schlecht,,"malo, bad",general,,,
TRUE,adjective,,echter,,"verdadero, real",general,,,
TRUE,adjective,,weibliche,,"female,femenino",general,,,
TRUE,adjective,,lieblings,,"favourite, favorito",general,,,
TRUE,adjective,,hässlich,,"ugly, feo",general,,,
TRUE,adjective,,bequem,,"comfortable, comodo",general,,,
TRUE,adjective,,dicke,,"thick, grueso",general,,,
TRUE,noun,die,Eigenschaft,Eigenschaften,"property, propiedad",general,,,
TRUE,noun,der,Stift,Stifte,"pen, esfero",general,,,
TRUE,noun,das,Lieder,,"song, cancion",general,,,
TRUE,noun,das,Kleid,,"dress, vestido",general,,,
TRUE,noun,das,Holz,,"wood, madera",general,,,
TRUE,noun,das,Leder,,"leather, cuero",general,,,
TRUE,noun,der,Hals,,"throat, cuello",general,,,
TRUE,noun,der,Schlafanzug,,pijama,general,,,
TRUE,noun,die,Krawatte,,"tie, corbata",general,,,
TRUE,verb,,schneiden,,"cut, cortar",general,,,
TRUE,verb,,lachen,,"laugh, reir",general,,,
TRUE,verb,,schauen,,"watch, ver",general,,,
TRUE,verb,,bereiten,,"prepare, preparar",general,,,
TRUE,verb,,duscht,,"take a shower, tomar una ducha",general,,,
,verb,,aussehen,,"look, mirar",general,,,
TRUE,noun,,gegenteil,,"opposite, ",general,,,
TRUE,adverb,,schlussendlich,,"finally, finalmente",general,,,
TRUE,verb,,sehen,,"see, ver",general,,,
TRUE,verb,,ziehen,,"pull, jalar",general,,,
TRUE,verb,,erkennen,,"recognize, reconocer",general,213,,
TRUE,verb,,benennen,,"name, nombrar",general,213,,
TRUE,verb,,anwenden,,"apply, aplicar",general,213,,
TRUE,verb,,bleiben,,"stay, permanecer",general,214,,
TRUE,adverb,,lieber,,"rather, mas bien",general,214,,
TRUE,verb,,überlegt,,"consider, considerar",general,214,,
TRUE,adverb,,bestimmt,,"definitely, definitivamente",general,214,,
TRUE,adjective,,spannend,,"exciting, emocionante",general,214,,
TRUE,adverb,,bald,bald,"soon, pronto",general,215,,
TRUE,noun,der,Bauarbeiter,,"construction worker, obrero",house,,,
TRUE,noun,das,Gerät,Geräte,"equipment, equipo","officeEquipment, home",215,,
TRUE,noun,die,Verbindung,Verbindungen,"connection, conexion",officeEquipment,215,,
TRUE,verb,,verbinden,,"connect, conectar",officeEquipment,215,,
TRUE,noun,der,Bildschirm,Bildschirme,monitor,officeEquipment,215,,
TRUE,noun,der,Drucker,Drucker,"printer, impresora",officeEquipment,215,,
TRUE,noun,die,Tastatur,Tastaturen,"keyboard, teclado",officeEquipment,215,,
TRUE,verb,,antworten,,"reply, responder",officeEquipment,215,,
TRUE,noun,der,Brief,Briefe,"letter, carta",officeEquipment,215,,
TRUE,noun,der,Briefumschlag,Briefumschläge,"envelope, sobre",officeEquipment,215,,
TRUE,noun,das,Papier,Papiere,"paper, papel",officeEquipment,215,,
TRUE,noun,die ,Post,Post,"post, correo",officeEquipment,215,,
TRUE,noun,der,Bleistift,Bleistifte,"pencil, lapiz",officeEquipment,215,,
TRUE,noun,das,Internet,,internet,officeEquipment,215,,
TRUE,noun,das,Dokument,Dokumente,"document, documento",officeEquipment,215,,
TRUE,noun,die ,Postkarte,Postkarten,"postcard, postal","officeEquipment, travel",215,,
TRUE,verb,,schicken (dir),,"send, enviarte",officeEquipment,215,,
TRUE,verb,,verschicken,,"send, enviar",officeEquipment,215,,
TRUE,noun,die,Anschrift,Anschriften,"address, direccion",officeEquipment,215,,
TRUE,noun,die,Briefmarke,Briefmarken,"stamp, estampilla",officeEquipment,215,,
TRUE,noun,der,Briefkasten,,"mailbox, buzon",officeEquipment,215,,
TRUE,noun,das,Paket,Pakete,"parcel, paquete",officeEquipment,215,,
TRUE,noun,die,Sendung,,"sending, envio",officeEquipment,215,,
TRUE,noun,der,Postbote,,"postman, cartero",officeEquipment,215,,
TRUE,noun,die,Tüte,Tüten,"bag, bolsa",officeEquipment,215,,
TRUE,verb,,überraschen,,"surprise, sorprender",officeEquipment,215,,
TRUE,noun,der,Feuerwehrmann,,"firefighter, bombero",professions,,,
TRUE,noun,der,Mitschülerin,,"classmate, compañero de clase",professions,,,
TRUE,noun,der,Krankenpfleger,,"nurse, enfermero","professions, health",,,
TRUE,noun,der,Schauspieler,,actor,professions,,,
TRUE,noun,die,Sängerin,,"singer, cantante",professions,,,
TRUE,noun,die ,Ärztin,Ärztinnen,"doctor, doctora",professions,211,,
TRUE,noun,der,Schriftsteller,Schriftsteller,"writer, escritor",professions,211,,
TRUE,noun,der,Lehrer,Lehrer,"teacher, profesor",professions,211,,
TRUE,noun,der,Schüler,Schüler,"student, estudiante",professions,211,,
TRUE,noun,die,Mode-Designerin,,diseñador de moda,professions,211,,
TRUE,noun,der,Informatiker,,"develper, informático",professions,211,,
TRUE,noun,der,Polizist,,policia,professions,211,,
TRUE,noun,der,Koch,,"cook, cocinero",professions,211,,
TRUE,noun,der,Student,,estudiante,professions,211,,
TRUE,noun,der,Architekt,,arquitecto,professions,211,,
TRUE,noun,die,Architektin,,arquitecta,professions,211,,
TRUE,noun,der ,Frisör,,peluquero,professions,211,,
TRUE,noun,die,Friseurin,,peluquera,professions,211,,
TRUE,noun,der,Artz,Ärzte,doctor,professions,211,,
TRUE,noun,der,Sekretär,,secretario,professions,211,,
TRUE,noun,der,Taxifahrer,,taxista,professions,211,,
TRUE,noun,die,Feuerwehrfrau,,bombera,professions,211,,
TRUE,noun,die,Krankenschwester,,enfermera,professions,211,,
TRUE,noun,der,Chef,,jefe,professions,211,,
TRUE,noun,die,Chefin,,jefa,professions,211,,
TRUE,noun,der,Kollege,,colega,professions,211,,
TRUE,noun,die,Kollegin,,colega,professions,211,,
TRUE,noun,die,Bauarbeiterin,,"construction worker, obrera",professions,211,,
TRUE,noun,der,Musiker,,musician,professions,211,,
TRUE,noun,der ,Manager,,manager,professions,212,,
TRUE,adjective,,teuer,,"expensive, caro",shopping,,,
TRUE,adjective,,günstig,,"cheap, barato",shopping,,,
TRUE,adjective,,billig,,"cheap, barato",shopping,,,
TRUE,adjective,,wenig,,"little, poco",shopping,,,
TRUE,adjective,,gestreift,,"striped,rayado",shopping,,,
TRUE,adjective,,gepunktet,,"dotted,punteado",shopping,,,
TRUE,adjective,,bunt,,"colorful,colorido",shopping,,,
TRUE,adjective,,koloriert,,"colorful,colorido",shopping,,,
TRUE,noun,das,Geschäft,Geschäfte ,"business, negocio",shopping,,,
TRUE,noun,das,Angebot,Angebote,"offer, oferta",shopping,,,
TRUE,noun,die,Sache,Sachen,"thing, cosa",shopping,,,
TRUE,noun,das,Geld,Gelder,"money, dinero",shopping,,,
TRUE,noun,die,Karte,,"card, tarjeta",shopping,,,
TRUE,noun,das,Bargeld (bar),,"cash, efectivo",shopping,,,
TRUE,noun,das,Geschenk,Geschenke,"gift, regalo",shopping,,,
TRUE,noun,die,Münze,Münzen,"coin, moneda",shopping,,,
TRUE,noun,der,Schein,Scheine,"bill, billete",shopping,,,
TRUE,noun,der,Verkäufer,,"seller, vendedor",shopping,,,
TRUE,noun,die,Kleidung (pl),Kleidung (pl),"clothes, ropa",shopping,,,
TRUE,noun,die,Klamotten (pl),Klamotten (pl),"clothes, ropa",shopping,,,
TRUE,noun,die,Schuh,Schuhe,"shoes, zapatos",shopping,,,
TRUE,noun,die,Handschuh,Handschuhe,"gloves, guantes",shopping,,,
TRUE,noun,die,Socke,Socken,"socks, medias",shopping,,,
TRUE,noun,die,Jeans,Jeans,jeans,shopping,,,
TRUE,noun,die,Hose,,"pants, pantalon",shopping,,,
TRUE,noun,die,Bluse,,"blouse, blusa",shopping,,,
TRUE,noun,die,Jacke,,"jacket, chaqueta",shopping,,,
TRUE,noun,die,Weste,,"vest, chaleco",shopping,,,
TRUE,noun,die,Stiefel,,"boots, botas",shopping,,,
TRUE,noun,die,Mode,,"fashion, moda",shopping,,,
TRUE,noun,die,Mütze,,"beanie, gorro",shopping,,,
TRUE,noun,die,Kappe,,"cap, gorra",shopping,,,
TRUE,noun,der,Pullover,,"sweather, saco",shopping,,,
TRUE,noun,der,Rock,,"skirt, falda",shopping,,,
TRUE,noun,der,Mantel,,"long coat, chaqueta",shopping,,,
TRUE,noun,der,Schal,,"scarf, bufanda",shopping,,,
TRUE,noun,der,Hut,,"hat, sombrero",shopping,,,
TRUE,noun,das,Hemd,,"shirt, camisa",shopping,,,
TRUE,noun,das,Lächeln,,"smile, sonrisa",shopping,,,
TRUE,noun,das,T-Shirt,,"T-shirt, camiseta",shopping,,,
TRUE,noun,das,halstuch,,"neckerchief, pañuelo",shopping,,,
TRUE,noun,der,Wünsche,,"wishes, deseos",shopping,,,
TRUE,noun,die,kasse,,"cashier, caja",shopping,,,
TRUE,noun,die,Umkleidekabine,,"changing room, vestidor",shopping,,,
TRUE,verb,,holen,,"fetch, traer",shopping,,,
TRUE,verb,,kosten,,"cost, costo",shopping,,,
TRUE,verb,,zahlen,,"pay, pagar",shopping,,,
TRUE,verb,,tragen,,"wear, vestir",shopping,,,
TRUE,verb,,anziehen,,"wear, ponerse",shopping,,,
TRUE,verb,,anprobieren,,"try on, probarse",shopping,,,
TRUE,verb,,umtauschen,,"exchange, cambiar",shopping,,,
TRUE,question,,wenn,,"if, si",shopping,,,
TRUE,verb,,ausziehen,,"take off, sacar",shopping,,,
TRUE,verb,,sich umschauen,,"look around, mirar alrededor",shopping,,,
TRUE,noun,das,Kleidungsstück,Kleidungsstücke,"clothing, clothes",shopping,,,
TRUE,noun,die,Stoff,Stoffe,"fabrics, tejidos",shopping,,,
TRUE,verb,,genießen,,"enjoy, disfrutar",shopping,,,
TRUE,noun,,Laden,,shop,shopping,,,
TRUE,verb,,braucht,,"need, necesitar",shopping,,,
TRUE,adjective,,eng,,"narrow, estrecho",shopping,,,
TRUE,adjective,,schmal,,"narrow, angosto",shopping,,,
TRUE,adjective,,kurze,,"short, corto",shopping,,,
TRUE,adjective,,weit,,"wide, ancho",shopping,,,
TRUE,verb,,leisten,,"afford, poder pagar",shopping,248,,
TRUE,noun,der,Gürtel,Gürtel,"belt, correa",shopping,248,,
TRUE,noun,die,Kirche,Kirchen,"church, iglesia",general,248,,
TRUE,noun,die,Kirsche,Kirschen,"cherry, cereza",general,248,,
TRUE,verb,,aufsteht,,"get up, lvantarse",trennbare,,,
TRUE,verb,,fernsehen,,"watch tv, mirar tv",trennbare,,,
TRUE,verb,,anfangen,,"start, empezer",trennbare,,,
TRUE,verb,,aufbauen,,"build up, construir",trennbare,,,
TRUE,verb,,entdeckt,,"discover, descubrir",trennbare,,,
TRUE,verb,,empfinden,,"feel, sentir",trennbare,,,
TRUE,verb,,versprechen,,"promise, promesa",trennbare,,,
TRUE,verb,,abfahren,,"depart, salir",trennbare,,,
TRUE,verb,,abfangen,,"begin, start",trennbare,,,
TRUE,verb,,wegwerfen,,"throw away, tirar",trennbare,,,
TRUE,verb,,arbeiten,,"work, trabajar",work,211,,
TRUE,noun,die,Arbeit,Arbeiten,"job, trabajo",work,211,,
TRUE,noun,der ,Beruf,Berufe,"job, trabajo",work,211,,
TRUE,noun,das,Büro,Büros,"office, oficina",work,211,,
TRUE,noun,das,Meeting,,"meeting, reunion",work,211,,
TRUE,verb,,bauen,,"build, construir",work,211,,
TRUE,verb,,verkaufen,,"sell, vender",work,211,,
TRUE,adjective,,hart,,"hard, dificil",general,211,,
TRUE,adjective,,gut bezahlt,,"well paid, bien pagado",work,211,,
TRUE,adjective,,schlecht bezahlt,,"poorly paid, mal pagado",work,211,,
TRUE,adjective,,anstrengend,,"exhausting, agotador",work,211,,
TRUE,adjective,,einfach,,"easy, facil",general,211,,
TRUE,adjective,,langweilig,,"boring, aburrido","work, travel",211,,
TRUE,verb,,planen,,"plan, planear",work,212,,
TRUE,verb,,untersuchen,,"examine, examinar",work,212,,
TRUE,verb,,backen,,"bake, hornear",work,212,,
TRUE,verb,,briefe zustellen,,"deliver letters, entrega cartas",work,212,,
TRUE,verb,,reparieren,,"repair, reparar",work,212,,
TRUE,verb,,kochen,,"cook, cocinar",work,212,,
TRUE,verb,,haare schneiden,,"cut hair, cortar cabello",work,212,,
TRUE,verb,,unterrichten,,"teacher, profesor",work,212,,
TRUE,adjective,,in Vollzeit,,"full time, tiempo completo",work,212,,
TRUE,adjective,,in Teilzeit,,"part time, medio tiempo",work,212,,
TRUE,adjective,,frei,,"free, libre",work,212,,
TRUE,adjective,,arbeitslos,,"unemployed, desempleado",work,212,,
TRUE,verb,,pendeln,,commute,work,212,,
TRUE,verb,,streiken,,"strike, protestar",work,212,,
TRUE,verb,,organisieren,,"orginize, organizar",work,212,,
TRUE,noun,der ,Termin,Termine,"meeting, reunion",work,212,,
TRUE,noun,der,Schreibtisch,Schreibtische,"desk, escritorio",work,212,,
TRUE,noun,die,Aufgabe,Aufgaben,"task, tarea",work,212,,
TRUE,verb,die,idee,ideen,idea,work,214,,
TRUE,verb,der,Job,,"job, trabajo",work,214,,
TRUE,verb,der,Anwalt,Anwälte,abogado,work,214,,
TRUE,verb,die,Anwältin,Anwältinnen,abogada,work,214,,
TRUE,verb,der,Elektriker,Elektriker,electicista,work,214,,
TRUE,verb,der,Zahnarzt,Zahnärzte,dentista,work,214,,
TRUE,verb,,verdiene,,"deserve, merecer",work,214,,
TRUE,verb,,werden,,"become, volverse",work,214,,
TRUE,noun,die,Reise,Reisen,"travel, viaje",travel,251,,
TRUE,verb,,reisen,,"travel, viajar",travel,251,,
TRUE,noun,der,Koffer,Koffer,"suitcase, maleta",travel,251,,
TRUE,adjective,,schwer,,"heavy, pesado",general,251,,
TRUE,noun,das,Gepäck,Gepäcke,"luggage, equipaje",travel,251,,
TRUE,verb,,einpacken,,"pack in, empacar",travel,251,,
TRUE,verb,,auspacken,,"pack out, desempacar",travel,251,,
TRUE,adjective,,leer,,"empty, vacio",general,251,,
TRUE,adverb,,bisher,,so far,"general, travel",251,,
TRUE,noun,die,Sehenswürdigkeit,Sehenswürdigkeiten,"worth seeing, sightseeing, turismo",travel,251,,
TRUE,noun,der,Urlaub,Urlaube,"vacation, vacacion",travel,251,,
TRUE,noun,das,Reisezizel,Reiseziele,"destination, destino",travel,251,,
TRUE,noun,der,Pass,Pässe,"passport, pasaporte",travel,251,,
TRUE,noun,die,Gesundheitsversicherung,,"insurance, seguro de salud",travel,251,,
TRUE,noun,die,Krankenversicherung,,"insurance, seguro de salud","general, travel",251,,
TRUE,verb,,brauchen,,"need, necesitar",travel,251,,
TRUE,noun,die,Sonne,Sonnen,"sun, sol","travel, weather",251,,
TRUE,verb,,scheinen,,"shine, brillar",travel,251,,
TRUE,noun,das,Meer,Meere,"sea, mar",travel,251,,
TRUE,adjective,,ruhig,,"calm, tranquilo",general,251,,
TRUE,noun,der ,Strand,Strände,"beach, playa",travel,251,,
TRUE,noun,der ,Zug,Züge,tren,travel,251,,
TRUE,pronoun,,etwas,,"something, algo",travel,251,,
TRUE,noun,der ,Flughafen,Flughäfen,"airport, aereopuerto",travel,251,,
TRUE,noun,der ,Hafen,Häfen,"port, puerto",travel,251,,
TRUE,noun,die,Wolke,Wolken,"cloud, nube",travel,251,,
TRUE,noun,die,Kreuzfahrt,,cruise,travel,251,,
TRUE,noun,das,Schiff,Schiffe,"ship, embarcacion",travel,251,,
TRUE,adjective,,ganzen,,"whole, completo",general,251,,
TRUE,skill,,ganzen Tag lang,,all day long,"general, travel",251,,
TRUE,adverb,,dabei,,"with, con","general, travel",251,,
TRUE,skill,,Wie gefällt dir ...,,"how do you like, que te parece","general, travel",251,,
TRUE,skill,,Mir gefällt ...,,"I like, me gusta","general, travel",251,,
TRUE,skill,,Wir machen Urlaub,,"we are on vacation, estamos de vacaciones","general, travel",251,,
TRUE,question,,Wohin,,"where, donde",general,251,,
TRUE,question,,Wen,,"whom, quien",general,252,,
TRUE,verb,,hoffen,,"hope, esperar",general,252,,
TRUE,verb,,verfassen,,"conpose, componer",travel,252,,
TRUE,verb,,erhelten,,"receive, recibir",travel,252,,
TRUE,noun,,Liebe,,"dear, querido",travel,252,,
TRUE,adjective,,länger,,"longer, largo",general,252,,
TRUE,adverb,,noch,,"still, todavia",general,252,,
TRUE,verb,das,Wetter,,"weather, clima","travel, weather",252,,
TRUE,noun,,Schnee,Schnee,snow,"travel, weather",252,,
TRUE,verb,,gefahrlich,,dangerous,general,252,,
TRUE,verb,,weinen,,"cry, llorar",general,252,,
TRUE,verb,,versuchen,,"try, intentar",general,252,,
TRUE,noun,die,heiße Schokolade,,"hot chocolate, chocolate caliente",food,151,,
TRUE,noun,der,Ingwertee,,"ginger tea, ",food,151,,
TRUE,noun,der,Keks,,"cookies, galletas",food,151,,
TRUE,noun,der,Kuchen,,"cake, pastel",food,151,,
TRUE,verb,,auswählen,,"choose, escoger",shopping,151,,Wähle aus
TRUE,noun,,Kellner Kellnerin,,"waiter, mesero",shopping,151,,
TRUE,noun,,Gast Gästin Gästin,,"guest, cliente",shopping,151,,
TRUE,verb,,suchen,,"looking for, buscar",shopping,151,,
TRUE,noun,die,Zitrone,,"lemon, limon",food,151,,
TRUE,noun,der,Zucker,,"sugar, azucar",food,151,,
TRUE,noun,die,Sahne,,"cream, crema",food,151,,
TRUE,noun,der,Honing,,"honey, miel",food,151,,
TRUE,verb,,Da vorne,,"over there, ahi",general,151,,
TRUE,adverb,,manche,,"some, algunos",general,151,,
TRUE,noun,die ,Bestellung,,"order, orden",shopping,151,,
TRUE,adverb,,deshalb,,"therefor, por lo tanto",shopping,151,,
TRUE,noun,die,Rechnung,,"invoice, recibo",shopping,152,,
TRUE,adverb,,getrennt,,"separated, separado",shopping,152,,
TRUE,verb,,stimmt so,,"keep the change, conserva el cambio",shopping,152,,
TRUE,noun,das,Trinkgeld,,"tip, propina",shopping,152,,
TRUE,verb,,laden,,"charge, cargar",shopping,152,,
TRUE,verb,,benutzen,,"use, usar",shopping,152,,
TRUE,verb,,dürfen (darf ich ...),,"may, puedo",shopping,152,,
TRUE,noun,das,getränk,,"drink, bebida",food,152,,
TRUE,verb,,schließen,,"close, cerrar",general,152,,
TRUE,noun,das,Messer,Messer,"knife, cuchillo",kitchen,152,,
TRUE,noun,der,Löffel,Löffel,"spoon, cuchara",kitchen,152,,
TRUE,noun,die,Gabeln,Gabeln,"fork, tenedor",kitchen,152,,
TRUE,question,,Wo,,"where, donde",questions,153,,
TRUE,question,,Was,,"what, que",questions,153,,
TRUE,question,,Wie,,"how, como",questions,153,,
TRUE,question,,Wer,,who,shopping,153,,
TRUE,question,,Wann,,"when, cuando",questions,153,,
TRUE,adjective,,früh,,"early, temprano",time,171,,
TRUE,adjective,,spät,,"late, tarde",time,171,,
TRUE,adverb,,schon,,"already, ya",time,171,,
TRUE,adjective,,erst,,"only, solo (tiempo)",time,171,,
TRUE,noun,,Uhr,,"time, hora",time,171,,
TRUE,noun,,Uhr,,"clock, reloj",time,171,,
TRUE,adjective,,nur,,"only, solo",general,171,,
TRUE,skill,,18:00 Uhr,,achtzehn,time,171,,
TRUE,skill,,18:00 Uhr,,achtzehn,time,171,,
TRUE,skill,,16:00 Uhr,,sechzehn,time,171,,
TRUE,skill,,15:00 Uhr,,fünfzehn,time,171,,
TRUE,noun,die,Spätschicht,,"lateshift, turno de la tarde","time, work",172,,
TRUE,noun,der,Abend,Abende,"evening, noche",time,172,,
TRUE,noun,der,Mittag,Mittage,"noon, medio dia",time,172,,
TRUE,noun,der,Morgen,Morgen,"morning, manana",time,172,,
TRUE,noun,die,Nacht,Nächte,"night, noche",time,172,,
TRUE,skill,,Viel Spaß!,,"have fun, diviertete",general,172,,
TRUE,adverb,,wider,,"again, de nuevo",general,172,,
TRUE,noun,der,Fachärztin,,"specialist, especialista","general, professions",172,,
TRUE,noun,die,Schichte,,"shift, turno","time, professions",172,,
TRUE,noun,die,Teilzeit,,"part time, tiempo parcial",time,172,,
TRUE,noun,die,Vollzeit,,"full time, tiempo completo",time,172,,
TRUE,adverb,,nachmittags,,"in the afternoon, por la tarde",time,172,,
TRUE,noun,der,Tagesablauf,,"daily routine, rutina diaria",time,172,,
TRUE,noun,die,Uhrzeit,,"time, hora del dia",time,173,,
TRUE,noun,die,Tageszeit,,"time of day, tiempo del dia",time,173,,
TRUE,adjective,,gerade,,"now, ahora",time,173,,
TRUE,noun,die,stunde ,,"hour, hora",time,173,,
TRUE,noun,das,dreiviertel,,"three quarters, tres cuartos",time,173,,
TRUE,adverb,,normaleweise,,"normally, normalmente",time,173,,
TRUE,noun,,Abendnachrichten,,"night news, noticias de la noche",time,173,,
TRUE,adjective,,ungefähr,,"aproximatelly, aproximadamente",general,173,,
TRUE,pronoun,16,sechzehn,,"sixteen, dieciseis",time,173,,
TRUE,pronoun,60,sechzig,,"sixty, sesenta",time,173,,
TRUE,pronoun,18,achtzehn,,"eighteen, dieciocho",time,173,,
TRUE,noun,die,Altstadt,Altstädte,"old town, centro",general,253,,
TRUE,skill,,noch niemals,,"never, nunca",general,254,,
TRUE,skill,,Spaß haben,,"have fun, divertirse","general, travel",254,,
TRUE,skill,,keine Lust habnen,,"dont feel like it, no me apetece","general, travel",254,,
TRUE,verb,,verlieren,,"loose, perder","general, travel",254,,
TRUE,adjective,,verloren,,"lost, perdido",travel,254,,
TRUE,adjective,,regnerisch,,"rainy, lluvioso","weather, travel",254,,
TRUE,question,,mit wem,,"with who, con quien","questions, travel",254,,
TRUE,adverb,,meistens,,"mostly, principalmente","general, travel",254,,
TRUE,noun,die,Schuld,Schulden,"blame, culpa","general, travel",254,,
TRUE,skill,,fast zu spät,,"almost too late, casi demasiado tarde",travel,254,,
TRUE,noun,der,Alptraum,Alptraum,"nightmare, pesadilla","general, travel",254,,
TRUE,preposition,,während,,"while, mientras","general, travel",254,,
TRUE,noun,,Stadt,,"city, ciudad",travel,254,,
TRUE,noun,,Wolkenkratzer,,"skyscraper, rascacielos,",travel,254,,
TRUE,noun,die,Fähre,Fähren,ferry,travel,254,,
TRUE,verb,,besuchen,,"visit, visitar",travel,254,,
TRUE,verb,,geblieben,,"remained, qudarse",travel,254,,
TRUE,noun,der,Reisepass,Reisepässe,"pasport, pasaporte",travel,254,,
TRUE,noun,der,Mitarbeiter,,"colleague, colega","travel, work",254,,
TRUE,skill,,Das war knapp!,,"that was close, estuvo cerca",travel,254,,
TRUE,noun,die,Aussicht,,"outlook, panorama",travel,254,,
TRUE,skill,,weit weg,,"far away, lejos","travel, directions",255,,
TRUE,adjective,,nah,,"near, cerca","travel, directions",255,,
TRUE,adverb,,links,,"left, izquierda","travel, directions",255,,
TRUE,adverb,,rechts,,"right, derecha","travel, directions",255,,
TRUE,adverb,,gerade aus,,"streight, derecho","travel, directions",255,,
TRUE,verb,,abbiegen,,"turn, girar","travel, directions",255,,
TRUE,skill,,biege links,,"turn left, gire a la izq","travel, directions",255,,
TRUE,noun,der,Weg,Wege,path,"travel, directions",255,,
TRUE,noun,das,Ziel,Ziele,"destination, destino","travel, directions",255,,
TRUE,noun,die,Kreuzung,Kreuzungen,"intersection, interseccion","travel, directions",255,,
TRUE,preposition,,gegenüber,,"opposite, frente","travel, directions",255,,
TRUE,preposition,,neben,,"next to, a lado de","travel, directions",255,,
TRUE,preposition,,zwischen,,"between, entre","travel, directions, position",255,,
TRUE,preposition,,über,,"over, encima","travel, directions, position",255,,
TRUE,preposition,,hinter,,"behind, detras de","travel, directions, position",255,,
TRUE,preposition,,durch,,"through, a traves de","travel, directions, position",255,,
TRUE,verb,,überqueren,,"cross, cruzar","travel, directions",255,,
TRUE,verb,,folgen,,"follow, seguir","travel, directions",255,,
TRUE,noun,,Bushaltestelle,,"bus stop, parada de bus","travel, general",255,Der Supermarkt ist auf der anderen Strase,
TRUE,verb,,bellt,,"bark, ladrar",general,256,,
TRUE,adjective,,Wichtig,,"important, importante",general,256,,
TRUE,skill,,Guck mal,,"look here, echa un vistazo",general,256,,
TRUE,noun,der,Ausflug,,"side trip, viaje opcional","travel, directions",256,,
TRUE,noun,das,Portemonnaie,,"wallet, billetera",chlothes,256,,
TRUE,noun,die,Beziehung,Beziehungen,"relationship, relacion",general,256,,
TRUE,skill,,Wo ist...?,,where is,"travel, directions",257,,
TRUE,skill,,Wo ist bitte...?,,where is,"travel, directions",257,,
TRUE,skill,,Wie komme ich nach zum zur...?,,how do I get to,"travel, directions",257,,
TRUE,skill,,Kennst du den Weg?,,do you know the way,"travel, directions",257,,
TRUE,skill,,Am ende der Straße,,at the end of the street,"travel, directions",257,,
TRUE,skill,,auf der rechten Seite,,on the right side,"travel, directions",257,,
TRUE,skill,,Biegen Sie links ab,,"turn left, gire a la izq","travel, directions",257,,
